symbol,n_trades,mean_net_pct,total_net_pct,win_rate_pct,sector
IRB,23,-0.16442486484112714,-3.781771891345924,56.52173913043478,(unmapped)
SPARC,8,-0.18956931852929726,-1.516554548234378,25.0,(unmapped)
BPCL,33,-0.1965954659777361,-6.487650377265291,51.515151515151516,Oil & Gas
TATAELXSI,18,-0.2101571537924239,-3.78282876826363,38.88888888888889,IT
NAGARFERT,30,-0.22210767501128612,-6.663230250338583,36.666666666666664,(unmapped)
MCLEODRUSS,25,-0.22888943579116058,-5.722235894779015,48.0,(unmapped)
M&M,47,-0.2335574897156771,-10.977202016636824,51.06382978723404,Auto
SKSMICRO,18,-0.23961453892866272,-4.313061700715929,38.88888888888889,(unmapped)
KPIT,7,-0.2411635452120072,-1.6881448164840505,42.857142857142854,(unmapped)
MARUTI,42,-0.2500285767955814,-10.501200225414419,45.23809523809524,Auto
PVR,6,-0.2569322191310221,-1.5415933147861327,66.66666666666666,(unmapped)
JISLJALEQS,24,-0.26690260619847006,-6.4056625487632814,41.66666666666667,(unmapped)
AUROPHARMA,54,-0.27306815265939616,-14.745680243607394,44.44444444444444,Pharma
NEYVELILIG,22,-0.28188764911987074,-6.201528280637157,54.54545454545454,(unmapped)
HINDUNILVR,30,-0.3013063069743969,-9.039189209231907,40.0,FMCG
AMTEKAUTO,13,-0.31328379275749635,-4.072689305847453,46.15384615384615,(unmapped)
ESCORTS,57,-0.32239914996868263,-18.37675154821491,36.84210526315789,(unmapped)
BATAINDIA,35,-0.3321650383395651,-11.62577634188478,48.57142857142857,(unmapped)
INFY,16,-0.3378732524624459,-5.405972039399135,50.0,IT
GTLINFRA,12,-0.3508047773330673,-4.2096573279968075,33.33333333333333,(unmapped)
IFCI,54,-0.35216562097417553,-19.016943532605477,42.592592592592595,Financial Services
MPHASIS,15,-0.35462757689999724,-5.319413653499959,46.666666666666664,IT
SRTRANSFIN,21,-0.3687136617751239,-7.742986897277602,47.61904761904761,(unmapped)
MATRIXLABS,10,-0.37377731232440076,-3.7377731232440077,50.0,(unmapped)
VIJAYABANK,39,-0.392751056025605,-15.317291184998595,41.02564102564102,(unmapped)
BHEL,37,-0.4000481373545281,-14.80178108211754,43.24324324324324,Capital Goods
HINDALC0,13,-0.40252744920340777,-5.232856839644301,46.15384615384615,(unmapped)
LIQUIDBEES,12,-0.4060802017297899,-4.872962420757479,0.0,(unmapped)
ASIANPAINT,24,-0.43150313329603124,-10.35607519910475,54.166666666666664,FMCG
NDTV,18,-0.4439834187138756,-7.99170153684976,38.88888888888889,(unmapped)
IDFC,41,-0.44812974321787497,-18.373319471932874,46.34146341463415,(unmapped)
PUNJLLOYD,29,-0.4487162207741861,-13.012770402451396,41.37931034482759,(unmapped)
ERACONS,6,-0.46277541410001116,-2.776652484600067,50.0,(unmapped)
ORBITCORP,17,-0.46719438226766286,-7.942304498550269,41.17647058823529,(unmapped)
MANAPPURAM,19,-0.47854994245296784,-9.09244890660639,52.63157894736842,Financial Services
RELINFRA,28,-0.5124992424332554,-14.34997878813115,42.857142857142854,(unmapped)
TCS,35,-0.5157777849653202,-18.05222247378621,42.857142857142854,IT
AJANTPHARM,10,-0.5314495286650915,-5.314495286650915,60.0,(unmapped)
DCB,19,-0.5545154854268007,-10.535794223109214,36.84210526315789,(unmapped)
THERMAX,6,-0.5599304384398417,-3.35958263063905,50.0,(unmapped)
LT,51,-0.5736686740977817,-29.257102378986865,43.13725490196079,Capital Goods
ADANIENT,31,-0.5755048768345048,-17.84065118186965,48.38709677419355,Diversified
JSTAINLESS,8,-0.5770972567001225,-4.61677805360098,37.5,(unmapped)
ZEEL,29,-0.5825603231478541,-16.89424937128777,44.827586206896555,(unmapped)
POWERGRID,23,-0.5842690865098872,-13.438188989727404,39.130434782608695,Power
