symbol_a,symbol_b,long_symbol,short_symbol,signal_entry_date,entry_fill_date,signal_exit_date,exit_fill_date,exit_reason,long_entry_price,long_exit_price,short_entry_price,short_exit_price,long_net_pct,short_net_pct,net_pnl_pct,long_cost_pct,short_cost_pct,short_contract_expiry,rolled_forward_at_entry
DLF,GODREJPROP,GODREJPROP,DLF,2021-07-26,2021-07-27,2021-07-30,2021-08-02,reverted,1549.0,1601.0,336.75,341.0,3.029602201420275,-1.4532166740905788,0.788192763664848,0.3274023176242738,0.19115282850779508,2021-08-26,True
TITAN,DMART,TITAN,DMART,2021-07-20,2021-07-22,2021-07-30,,no_fill,,,,,,,,,,,False
TITAN,TRENT,TITAN,TRENT,2021-07-07,2021-07-08,2021-07-16,2021-07-19,reverted,1730.0,1694.35,910.1,875.85,-2.379773150468216,3.576680670256021,0.5984537598939026,0.3190795088497109,0.18664204153389738,2021-07-29,False
INFY,WIPRO,INFY,WIPRO,2021-07-16,2021-07-19,2021-07-30,2021-07-29,rollover,1544.7,1600.1,572.5,590.45,3.2587021088366583,-3.3282054882096093,-0.03475168968647546,0.32775480836408366,0.19283430917030567,2021-07-29,False
TCS,WIPRO,TCS,WIPRO,2021-07-14,2021-07-15,2021-07-30,2021-07-29,rollover,3227.6,3200.25,565.0,590.45,-1.168322291922788,-4.698487950442489,-2.9334051211826386,0.32094343456748053,0.19406317168141596,2021-07-29,False
HDFCLIFE,SBILIFE,HDFCLIFE,SBILIFE,2021-07-26,2021-07-27,2021-07-30,2021-08-02,window_end,666.0,669.0,1095.6,1117.35,0.12751325675675212,-2.1770155093099754,-1.0247511262766116,0.3229371936936937,0.19180192771084337,2021-08-26,True
SBILIFE,ICICIGI,ICICIGI,SBILIFE,2021-07-13,2021-07-14,2021-07-22,2021-07-23,reverted,1549.25,1510.0,1055.75,1029.5,-2.8518371399386795,2.2985958654984646,-0.27662063722010743,0.3183531960948846,0.1877882216433815,2021-07-29,False
SBILIFE,ICICIGI,ICICIGI,SBILIFE,2021-07-26,2021-07-27,2021-07-30,2021-08-02,window_end,1458.1,1477.3,1095.6,1117.35,0.9925140387902089,-2.1770155093099754,-0.5922507352598833,0.3242680749194157,0.19180192771084337,2021-08-26,True
UPL,TATACHEM,UPL,TATACHEM,2021-08-02,2021-08-03,2021-08-31,2021-08-26,rollover,795.0,725.0,779.0,826.6,-9.113750128301884,-6.305902639281128,-7.709826383791507,0.3087186817610063,0.19550469319640565,2021-08-26,False
UPL,SRF,UPL,SRF,2021-07-30,2021-08-02,2021-08-30,2021-08-26,rollover,808.55,725.0,8670.0,9063.1,-10.63968361663471,-4.728115116032303,-7.683899366333506,0.3063708963329417,0.1940897411764706,2021-08-26,False
UPL,SRF,UPL,SRF,2021-08-31,2021-09-01,2021-08-31,,no_fill,,,10262.5,,,,,,,2021-09-30,False
TATACHEM,SRF,TATACHEM,SRF,2021-07-30,2021-08-02,2021-08-06,2021-08-09,reverted,771.0,828.75,8670.0,8993.15,7.156520422373537,-3.9205858528258357,1.6179672847738504,0.3337519511673152,0.19336555294117647,2021-08-26,False
BAJFINANCE,BAJAJFINSV,BAJFINANCE,BAJAJFINSV,2021-08-24,2021-08-25,2021-08-25,2021-08-26,reverted,7005.0,6900.0,16555.0,16060.8,-1.8188718419700216,2.7978603619450393,0.48949425998750884,0.31994250578158456,0.18734048372093026,2021-09-30,True
BAJFINANCE,SBICARD,SBICARD,BAJFINANCE,2021-08-20,2021-08-23,2021-08-31,2021-09-01,window_end,1005.0,1149.0,6749.65,7520.0,13.984101412537305,-11.61344886164468,1.1853262754463127,0.34425679641791046,0.2002644743060751,2021-09-30,True
