symbol,signal_date,entry_date,entry_price,stop_price,target_price,exit_date,exit_price,exit_reason,held_days,shares,gross_pnl_pct,net_pnl_pct,cost_pct
POLARIS,2010-02-23,2010-02-23,154.7,140.11652045539648,191.15869886150875,2010-03-08,162.0,time,8,64,4.718810601163548,4.389316241628965,0.32949435953458306
RNRL,2010-02-23,2010-02-23,61.8,57.2587839642334,73.15304008941649,2010-03-08,67.5,time,8,161,9.223300970873783,8.886886696116502,0.33641427475728153
TANLA,2010-02-23,2010-02-23,47.65,42.427855098232236,60.705362254419406,2010-03-08,49.5,time,8,209,3.882476390346268,3.5542668291710315,0.32820956117523603
TATACHEM,2010-02-23,2010-02-23,284.95,261.13231688155577,344.4942077961106,2010-03-08,311.0,time,8,35,9.141954728899805,8.805665420354446,0.3362893085453589
EKC,2010-02-24,2010-02-24,113.55,103.15092440579816,139.54768898550458,2010-03-09,126.85,time,8,88,11.712901805372077,11.372662941083217,0.3402388642888595
HINDOILEXP,2010-02-24,2010-02-24,234.8,203.5924413338808,312.818896665298,2010-03-09,254.5,time,8,42,8.390119250425897,8.054984931090292,0.33513431933560484
INDHOTEL,2010-02-24,2010-02-24,86.0,79.62988697778842,101.92528255552897,2010-03-09,94.4,time,8,116,9.76744186046512,9.430191662325585,0.337250198139535
INDIAINFO,2010-02-24,2010-02-24,110.0,99.9264955582278,135.18376110443052,2010-03-09,122.0,time,8,90,10.909090909090914,10.570086880000005,0.33900402909090904
IOB,2010-02-24,2010-02-24,87.05,81.12259411548506,101.86851471128733,2010-03-09,95.8,time,8,114,10.051694428489366,9.714007554164265,0.33768687432510053
JETAIRWAYS,2010-02-24,2010-02-24,424.35,377.72370419202866,540.9157395199284,2010-03-09,507.0,time,8,23,19.47684694238245,19.124680903711543,0.35216603867090845
M&M,2010-02-24,2010-02-24,957.3,882.7579326549272,1143.6551683626817,2010-03-09,1122.0,time,8,10,17.204638044500165,16.855962632215615,0.3486754122845503
MRF,2010-02-24,2010-02-24,5614.55,5277.203245902129,6457.916885244677,2010-03-09,6120.0,time,8,1,9.002502426730551,8.666427348437544,0.3360750782930066
SASKEN,2010-02-24,2010-02-24,167.0,151.56133677220097,205.59665806949755,2010-03-09,178.5,time,8,59,6.886227544910173,6.553403543113766,0.3328240017964072
ANANTRAJ,2010-02-25,2010-02-25,122.3,109.83878979045807,153.45302552385482,2010-03-10,139.9,time,8,81,14.390842191332798,14.046489405396576,0.3443527859362224
