symbol,company_name,index_name,action,announcement_date,effective_date,source_url
CASTROL,Castrol (India) Ltd.,CNX Midcap Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
GMRINFRA,GMR Infrastructure Ltd.,CNX Midcap Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
HINDZINC,Hindustan Zinc Ltd.,CNX Midcap Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
INDIABULLS,Indiabulls Financial Services Ltd.,CNX Midcap Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
IBREALEST,Indiabulls Real Estate Ltd.,CNX Midcap Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
NHPC,NHPC Ltd.,CNX Midcap Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
OFSS,Oracle Financial Services Software Ltd.,CNX Midcap Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
VOLTAS,Voltas Ltd.,CNX Midcap Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
COALINDIA,Coal India Ltd.,CNX Nifty Junior Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
PATNI,Patni Computer Systems Ltd.,CNX Nifty Junior Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
PUNJLLOYD,Punj Lloyd Ltd.,CNX Nifty Junior Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
SYNDIBANK,Syndicate Bank,CNX Nifty Junior Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
BOSCHLTD,Bosch Ltd.,CNX Nifty Junior Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
DABUR,Dabur India Ltd.,CNX Nifty Junior Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
IDEA,Idea Cellular Ltd.,CNX Nifty Junior Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
RELCAPITAL,Reliance Capital Ltd.,CNX Nifty Junior Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
BEML,BEML Ltd.,CNX PSE Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
COALINDIA,Coal India Ltd.,CNX PSE Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
ORBITCORP,Orbit Corporation Ltd.,CNX Realty Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
IBREALEST,Indiabulls Real Estate Ltd.,CNX Realty Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
LUPIN,Lupin Ltd.,Nifty Midcap 50 Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
MOSERBAER,Moser Baer India Ltd.,Nifty Midcap 50 Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
JISLJALEQS,Jain Irrigation Systems Ltd.,Nifty Midcap 50 Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
UNITECH,Unitech Ltd.,Nifty Midcap 50 Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
ADORWELD,Ador Welding Ltd.,S&P CNX 500 Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
AFTEK,Aftek Ltd.,S&P CNX 500 Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
AKSHOPTFBR,Aksh Optifibre Ltd.,S&P CNX 500 Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
ANDHRSUGAR,Andhra Sugars Ltd.,S&P CNX 500 Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
BLKASHYAP,B L Kashyap & Sons Ltd.,S&P CNX 500 Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
COSMOFILMS,Cosmo Films Ltd.,S&P CNX 500 Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
DSKULKARNI,D. S. Kulkarni Developers Ltd.,S&P CNX 500 Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
EVERESTIND,Everest Industries Ltd.,S&P CNX 500 Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
HERITGFOOD,Heritage Foods (India) Ltd.,S&P CNX 500 Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
HIKAL,Hikal Ltd.,S&P CNX 500 Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
KOUTONS,Koutons Retail India Ltd.,S&P CNX 500 Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
NRBBEARING,NRB Bearings Ltd.,S&P CNX 500 Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
PNBGILTS,PNB Gilts Ltd.,S&P CNX 500 Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
PRICOL,Pricol Ltd.,S&P CNX 500 Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
RICOAUTO,Rico Auto Industries Ltd.,S&P CNX 500 Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
SAKHTISUG,Sakthi Sugars Ltd.,S&P CNX 500 Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
SEAMECLTD,SEAMEC Ltd.,S&P CNX 500 Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
TNPETRO,Tamilnadu Petroproducts Ltd.,S&P CNX 500 Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
TFCILTD,Tourism Finance Corporation of India Ltd.,S&P CNX 500 Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
TRIDENT,Trident Ltd.,S&P CNX 500 Index,excluded,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
AIAENG,AIA Engineering Ltd.,S&P CNX 500 Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
BFUTILITIE,BF Utilities Ltd.,S&P CNX 500 Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
CENTRALBK,Central Bank of India,S&P CNX 500 Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
DCB,Development Credit Bank Ltd.,S&P CNX 500 Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
DEWANHOUS,Dewan Housing Finance Corporation Ltd.,S&P CNX 500 Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
DHANBANK,Dhanlaxmi Bank Ltd.,S&P CNX 500 Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
ECLERX,eClerx Services Ltd.,S&P CNX 500 Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
GPPL,Gujarat Pipavav Port Ltd.,S&P CNX 500 Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
HFCL,Himachal Futuristic Communications Ltd.,S&P CNX 500 Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
IBPOW,Indiabulls Power Ltd.,S&P CNX 500 Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
INDIANB,Indian Bank,S&P CNX 500 Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
JUBILANT,Jubilant Life Sciences Ltd.,S&P CNX 500 Index,included,2011-08-25,"October 10, 2011",https://www.niftyindices.com/Press_Release/ind_prs25082011.pdf
