symbol,first,last,rows,span_days,gap_rate
PIDILITIND,2003-01-01,2026-08-13,5822,5822,0.0
PIIND,2011-06-15,2026-08-13,3745,3745,0.0
PINELABS,2025-11-14,2026-08-13,184,184,0.0
PIRAMALFIN,2025-11-07,2026-08-13,189,189,0.0
PNB,2003-01-01,2026-08-13,5822,5822,0.0
PNBHOUSING,2016-11-07,2026-08-13,2419,2419,0.0
POLICYBZR,2021-11-15,2026-08-13,1177,1177,0.0
POLYCAB,2019-04-16,2026-08-13,1815,1815,0.0
POONAWALLA,2004-04-27,2026-08-13,5494,5494,0.0
POWERGRID,2007-10-05,2026-08-13,4656,4656,0.0
POWERINDIA,2020-03-30,2026-08-13,1581,1581,0.0
PPLPHARMA,2022-10-19,2026-08-13,946,946,0.0
PREMIERENE,2024-09-03,2026-08-13,482,482,0.0
PRESTIGE,2010-10-27,2026-08-13,3903,3903,0.0
PWL,2025-11-18,2026-08-13,182,182,0.0
RADICO,2003-01-01,2026-08-13,5822,5822,0.0
RAMCOCEM,2003-01-01,2026-08-13,5822,5822,0.0
RBLBANK,2016-08-31,2026-08-13,2462,2462,0.0
RECLTD,2008-03-12,2026-08-13,4546,4546,0.0
REDINGTON,2007-02-15,2026-08-13,4815,4815,0.0
RELIANCE,2000-01-03,2026-08-13,6571,6571,0.0
RPOWER,2008-02-11,2026-08-13,4567,4567,0.0
RVNL,2019-04-11,2026-08-13,1818,1818,0.0
SAGILITY,2024-11-12,2026-08-13,433,433,0.0
SAIL,2003-01-01,2026-08-13,5822,5822,0.0
SAILIFE,2024-12-18,2026-08-13,409,409,0.0
SARDAEN,2009-12-03,2026-08-13,4127,4127,0.0
SBICARD,2015-01-01,2026-08-13,1611,2873,0.4392620953706926
SBILIFE,2017-10-03,2026-08-13,2194,2194,0.0
SBIN,2003-01-01,2026-08-13,5822,5822,0.0
SHREECEM,2003-01-01,2026-08-13,5822,5822,0.0
SHRIRAMFIN,2003-01-01,2026-08-13,5822,5822,0.0
SIEMENS,2003-01-01,2026-08-13,5822,5822,0.0
SIGNATURE,2023-09-27,2026-08-13,713,713,0.0
SOLARINDS,2006-04-03,2026-08-13,5031,5031,0.0
SONACOMS,2021-06-24,2026-08-13,1274,1274,0.0
SRF,2003-01-01,2026-08-13,5822,5822,0.0
STARHEALTH,2016-01-04,2026-08-13,1220,2625,0.5352380952380953
SUNPHARMA,2003-01-01,2026-08-13,5822,5822,0.0
SUPREMEIND,2003-01-01,2026-08-13,5822,5822,0.0
SUZLON,2005-10-19,2026-08-13,5142,5142,0.0
SWANCORP,2012-05-29,2026-08-13,3511,3511,0.0
SWIGGY,2024-11-13,2026-08-13,432,432,0.0
SYNGENE,2015-08-11,2026-08-13,2722,2722,0.0
TATACAP,2025-10-13,2026-08-13,206,206,0.0
TATACHEM,2003-01-01,2026-08-13,5822,5822,0.0
TATACOMM,2003-01-01,2026-08-13,5822,5822,0.0
TATAELXSI,2003-01-01,2026-08-13,5822,5822,0.0
TATAINVEST,2003-01-01,2026-08-13,5822,5822,0.0
TATAPOWER,2003-01-01,2026-08-13,5822,5822,0.0
TATASTEEL,2003-01-01,2026-08-13,5822,5822,0.0
TATATECH,2023-11-30,2026-08-13,670,670,0.0
TCS,2004-08-25,2026-08-13,5430,5430,0.0
TECHM,2006-08-28,2026-08-13,4931,4931,0.0
TENNIND,2025-11-19,2026-08-13,181,181,0.0
TIINDIA,2017-11-02,2026-08-13,2174,2174,0.0
TITAN,2003-01-01,2026-08-13,5822,5822,0.0
TMCV,2025-11-12,2026-08-13,186,186,0.0
TMPV,2000-01-03,2026-08-13,6571,6571,0.0
TORNTPHARM,2003-01-01,2026-08-13,5822,5822,0.0
TRENT,2003-01-01,2026-08-13,5822,5822,0.0
TRITURBINE,2011-10-28,2026-08-13,3653,3654,0.0002736726874658091
TVSMOTOR,2003-01-01,2026-08-13,5822,5822,0.0
ULTRACEMCO,2004-08-24,2026-08-13,5431,5431,0.0
UNIONBANK,2003-01-01,2026-08-13,5822,5822,0.0
UNITDSPR,2003-01-01,2026-08-13,5821,5822,0.0001717622810031294
UPL,2004-01-23,2026-08-13,5555,5555,0.0
URBANCO,2025-09-17,2026-08-13,223,223,0.0
