date,reserve_type,currency,value
1995-12-01,Reserve Tranche Position,₹ Crores,
1995-12-01,Reserve Tranche Position,US $ Millions,
1995-12-01,SDRs,SDRs Millions,
1995-10-01,Reserve Tranche Position,₹ Crores,
1995-10-01,Reserve Tranche Position,US $ Millions,
1995-10-01,SDRs,SDRs Millions,
1995-09-01,Reserve Tranche Position,₹ Crores,
1995-09-01,Reserve Tranche Position,US $ Millions,
1995-09-01,SDRs,SDRs Millions,
1995-08-01,Reserve Tranche Position,₹ Crores,
1995-08-01,Reserve Tranche Position,US $ Millions,
1995-08-01,SDRs,SDRs Millions,
1995-07-01,Reserve Tranche Position,₹ Crores,
1995-07-01,Reserve Tranche Position,US $ Millions,
1995-07-01,SDRs,SDRs Millions,
1995-06-01,Reserve Tranche Position,₹ Crores,
1995-06-01,Reserve Tranche Position,US $ Millions,
1995-06-01,SDRs,SDRs Millions,
1995-04-01,Reserve Tranche Position,₹ Crores,
1995-04-01,Reserve Tranche Position,US $ Millions,
1995-04-01,SDRs,SDRs Millions,
1995-03-01,Reserve Tranche Position,₹ Crores,
1995-03-01,Reserve Tranche Position,US $ Millions,
1995-03-01,SDRs,SDRs Millions,
1995-02-01,Reserve Tranche Position,₹ Crores,
1995-02-01,Reserve Tranche Position,US $ Millions,
1995-02-01,SDRs,SDRs Millions,
1995-01-01,Reserve Tranche Position,₹ Crores,
1995-01-01,Reserve Tranche Position,US $ Millions,
1995-01-01,SDRs,SDRs Millions,
1994-12-01,Reserve Tranche Position,₹ Crores,
1994-12-01,Reserve Tranche Position,US $ Millions,
1994-12-01,SDRs,SDRs Millions,
1994-10-01,Reserve Tranche Position,₹ Crores,
1994-10-01,Reserve Tranche Position,US $ Millions,
1994-10-01,SDRs,SDRs Millions,
1994-09-01,Reserve Tranche Position,₹ Crores,
1994-09-01,Reserve Tranche Position,US $ Millions,
1994-09-01,SDRs,SDRs Millions,
1994-08-01,Reserve Tranche Position,₹ Crores,
1994-08-01,Reserve Tranche Position,US $ Millions,
1994-08-01,SDRs,SDRs Millions,
1994-07-01,Reserve Tranche Position,₹ Crores,
1994-07-01,Reserve Tranche Position,US $ Millions,
1994-07-01,SDRs,SDRs Millions,
1994-06-01,Reserve Tranche Position,₹ Crores,
1994-06-01,Reserve Tranche Position,US $ Millions,
