date,series,sector,index,inflation
2026-02-01,Current,Rural,105.17,3.54
2026-02-01,Current,Urban,104.28,2.76
2026-02-01,Current,Combined,104.63,3.06
2026-02-01,Current,Rural,102.22,0.65
2026-02-01,Current,Urban,103.29,1.75
2026-02-01,Current,Combined,102.56,1.01
2026-02-01,Current,Rural,104.49,2.83
2026-02-01,Current,Urban,103.1,1.83
2026-02-01,Current,Combined,104.13,2.57
2026-02-01,Current,Rural,102.9,0.43
2026-02-01,Current,Urban,101.83,-0.13
2026-02-01,Current,Combined,102.29,0.11
2026-02-01,Current,Rural,105.44,3.07
2026-02-01,Current,Urban,103.48,2.28
2026-02-01,Current,Combined,104.69,2.77
2026-02-01,Current,Rural,101.31,1.85
2026-02-01,Current,Urban,102.86,1.95
2026-02-01,Current,Combined,102.83,1.94
2026-02-01,Current,Rural,103.7,3.41
2026-02-01,Current,Urban,103.36,2.87
2026-02-01,Current,Combined,103.61,3.27
2026-02-01,Current,Rural,105.08,2.85
2026-02-01,Current,Urban,105.11,3.73
2026-02-01,Current,Combined,105.1,3.46
2026-02-01,Current,Rural,105.22,3.42
2026-02-01,Current,Urban,104.09,2.72
2026-02-01,Current,Combined,104.7,3.1
